cohort,submission_n,submitted_utc,essay_blank,essay_chars,T1_everyday_coffee,T2_clarity_pace,T3_visual_immersion,T4_affect_stigma,T5_concepts_prior,T6_limits_friction,theme_count,themes_flagged,needs_manual_review
DD,58,2026-03-14 08:12:48 UTC,0,201,0,0,0,0,0,0,0,,1
DD,59,2026-03-14 08:09:34 UTC,0,195,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,60,2026-03-14 08:18:01 UTC,0,333,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,61,2026-03-18 01:45:53 UTC,0,157,0,0,1,0,0,0,1,T3_visual_immersion,0
DD,62,2026-03-14 08:35:19 UTC,0,161,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,63,2026-03-14 08:35:51 UTC,0,16,0,0,0,0,0,0,0,,1
DD,64,2026-03-14 16:07:06 UTC,0,166,0,1,0,1,0,0,2,T2_clarity_pace;T4_affect_stigma,0
DD,65,2026-03-14 16:15:21 UTC,0,165,0,1,1,0,1,0,3,T2_clarity_pace;T3_visual_immersion;T5_concepts_prior,0
DD,66,2026-03-14 16:42:19 UTC,0,21,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,67,2026-03-15 17:47:57 UTC,0,119,0,1,0,0,0,1,2,T2_clarity_pace;T6_limits_friction,0
DD,68,2026-03-14 17:47:48 UTC,0,110,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,69,2026-03-14 18:40:20 UTC,0,10,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,70,2026-03-14 18:36:45 UTC,0,147,1,0,1,0,0,0,2,T1_everyday_coffee;T3_visual_immersion,0
DD,71,2026-03-14 18:48:32 UTC,0,147,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,72,2026-03-14 19:10:09 UTC,0,156,0,1,0,0,1,0,2,T2_clarity_pace;T5_concepts_prior,0
DD,73,2026-03-14 19:59:56 UTC,0,142,0,0,0,0,0,0,0,,1
DD,74,2026-03-16 00:33:16 UTC,0,195,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,75,2026-03-14 20:11:58 UTC,0,117,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,76,2026-03-14 19:47:03 UTC,0,206,1,0,0,1,0,0,2,T1_everyday_coffee;T4_affect_stigma,0
